院校名称,院校ID
渭南师范学院,1183
宝鸡文理学院,530
青海师范大学,661
陕西理工大学,292
青海民族大学,176
西安外国语大学,487
北华大学,1177
西安财经大学,485
西北政法大学,462
长春大学,174
西安体育学院,70
长春理工大学,1054
西安音乐学院,2109
长春工业大学,1235
西安美术学院,288
西安培华学院,875
吉林农业大学,1097
湘潭大学,451
吉首大学,266
长春师范大学,1268
湖南科技大学,144
长沙理工大学,156
吉林师范大学,1172
南华大学,1241
湖南农业大学,1056
东北电力大学,1232
长春工程学院,1263
吉林建筑大学,1081
湖南理工学院,950
湖南城市学院,953
湖南工业大学,662
湖南工程学院,1198
吉林化工学院,274
中南林业科技大学,1105
湖南中医药大学,262
湘南学院,219
长春中医药大学,669
吉林工程技术师范学院,40
衡阳师范学院,1271
湖南工商大学,1267
通化师范学院,534
湖南科技学院,136
白城师范学院,630
吉林外国语大学,602
吉林财经大学,173
吉林体育学院,976
中南财经政法大学,8
湖南文理学院,205
怀化学院,540
华中农业大学,1140
邵阳学院,293
东北林业大学,1225
华中师范大学,481
黑龙江大学,737
佳木斯大学,959
中南民族大学,404
齐齐哈尔大学,178
湖北大学,744
哈尔滨理工大学,732
黑龙江八一农垦大学,750
长江大学,1104
哈尔滨医科大学,748
江汉大学,348
三峡大学,1102
武汉纺织大学,460
湖北工业大学,151
武汉工程大学,897
湖北汽车工业学院,852
武汉轻工大学,664
湖北中医药大学,491
湖北医药学院,35
湖北师范大学,617
黄冈师范学院,208
黑龙江中医药大学,149
牡丹江师范学院,362
湖北工程学院,1091
哈尔滨商业大学,828
湖北经济学院,1262
东北石油大学,393
哈尔滨学院,539
武汉体育学院,1134
黑龙江工程学院,965
黑龙江科技大学,497
湖北美术学院,377
湖北民族大学,213
牡丹江医学院,388
齐齐哈尔医学院,998
武汉音乐学院,2651
黑龙江东方学院,858
湖北科技学院,294
郑州轻工业大学,486
河南大学,440
河南科技大学,887
湖北文理学院,945
河南农业大学,723
河南理工大学,731
华北水利水电大学,1176
华侨大学,725
河南工业大学,406
福建农林大学,741
黄河科技学院,871
西藏民族大学,272
集美大学,832
仰恩大学,326
福建师范大学,1224
福建理工大学,4103
泉州师范学院,381
闽南师范大学,206
闽江学院,128
莆田学院,635
郑州航空工业管理学院,620
西北民族大学,180
