院校名称,院校ID
南方科技大学,2734
山东财经大学燕山学院,2088
陆军炮兵防空兵学院,4272
解放军南京陆军指挥学院,4273
中国人民解放军陆军步兵学院,1382
解放军工程兵学院,4274
海军潜艇学院,4275
空军指挥学院,4276
解放军空军第一航空学院,4277
解放军空军西安飞行学院,4278
解放军装甲兵学院,4279
解放军装甲兵技术学院,4280
中国人民解放军陆军边海防学院,2777
武警指挥学院,4281
中国人民武装警察部队警官学院,1701
贵州理工学院,217
北京理工大学国际教育学院,4282
山东管理学院,980
山东农业工程学院,903
北京航空航天大学软件学院,4283
香港都会大学,4284
香港珠海学院,4201
上海纽约大学,2031
北京警察学院,2527
河北中医药大学,141
营口理工学院,1182
山西能源学院,2842
河南牧业经济学院,615
泰州学院,250
广西职业师范学院,1584
大连理工大学盘锦校区,4285
中国科学院大学,1496
江苏第二师范学院,251
中国人民大学(苏州校区),704
上海科技大学,1419
合肥工业大学宣城校区,4286
温州肯恩大学,2312
上海健康医学院,1164
香港中文大学(深圳),545
内蒙古艺术学院,1456
广东以色列理工学院,709
香港树仁大学,1613
澳门城市大学,2644
深圳北理莫斯科大学,2513
中国社会科学院大学,1865
哈尔滨工业大学(深圳),2784
浙江音乐学院,1549
哈尔滨音乐学院,2489
鄂尔多斯应用技术学院,2453
滇西应用技术大学,1848
深圳技术大学,2340
茅台学院,2728
中国石油大学(北京)克拉玛依校区,4288
上海公安学院,1590
南京审计大学金审学院,1551
昆山杜克大学,2828
西藏农牧学院,1839
南昌大学抚州医学院,4203
郑州西亚斯学院,2554
复旦大学上海医学院,710
中国消防救援学院,2147
浙江大学医学院,2346
中国人民解放军陆军特种作战学院,2579
中国人民武装警察部队特种警察学院,2106
厦门大学马来西亚分校,4293
安徽艺术学院,4204
西湖大学,1541
福建技术师范学院,4205
江西软件职业技术大学,2347
江苏海洋大学,300
西南财经大学特拉华数据科学学院,4206
海军指挥学院,4353
海军勤务学院,4354
中国人民武装警察部队指挥学院,1857
贵州财经大学西密歇根学院,4207
中国人民解放军海军士官学校,4355
解放军空军石家庄飞行学院,4357
电子科技大学格拉斯哥学院,4208
香港恒生大学,4209
重庆移通学院德国工程学院,4210
烟台科技学院,4211
西南大学西塔学院,4212
重庆医科大学国际医学院,4213
贵州大学北阿拉巴马国际工程技术学院,4214
重庆中医药学院,4402
郑州大学体育学院,2254
华北水利水电大学乌拉尔学院,1667
海南比勒费尔德应用科学大学,4419
郑州美术学院,4436
香港科技大学(广州),4104
