专业名称,专业热度,ID
医工学,0,2677
地理国情监测,458723,989
地理空间信息工程,118088,1303
导航工程,399950,421
测绘工程,462876,417
遥感科学与技术,336956,866
工程力学,457014,554
理论与应用力学,338407,419
临床工程技术,75592,1285
假肢矫形工程,120627,440
康复工程,47718,2573
生物医学工程,651279,863
信息对抗技术,181970,942
弹药工程与爆炸技术,191639,555
探测制导与控制技术,116849,720
智能无人系统技术,69147,2571
武器发射工程,446360,1222
武器系统与工程,186963,692
特种能源技术与工程,477542,444
装甲车辆工程,418016,468
包装工程,217027,525
化妆品技术与工程,109828,1272
印刷工程,132945,1092
生物质能源与材料,517,2704
轻化工程,235105,1126
香料香精技术与工程,75629,1271
安全工程,441719,660
安全生产监管,0,2691
应急技术与管理,110252,1312
职业卫生工程,31943,1311
中国少数民族语言文学,131685,3
中国语言与文化,146885,1364
古典文献学,542722,330
应用语言学,361882,405
手语翻译,77440,1363
数字人文,0,2678
汉语国际教育,662306,859
汉语言,639014,963
汉语言文学,2457778,351
秘书学,561779,75
世界语,753268,1085
丹麦语,86197,117
乌克兰语,76324,957
乌兹别克语,324355,78
乌尔都语,48948,396
亚美尼亚语,20079,2007
俄语,492867,411
保加利亚语,48190,921
僧伽罗语,389495,424
克罗地亚语,55889,600
克里奥尔语,24584,2015
冰岛语,157863,513
切瓦语,20033,2027
加泰罗尼亚语,20244,2549
匈牙利语,61951,825
卢旺达语,15235,2026
卢森堡语,20308,2003
印地语,57074,833
印度尼西亚语,58708,597
吉尔吉斯语,16674,2547
哈萨克语,345528,183
商务英语,773102,671
土库曼语,23206,2548
土耳其语,86626,439
塔吉克语,21417,2550
塔玛齐格特语,30205,2021
塞尔维亚语,81884,517
塞苏陀语,21257,2028
孟加拉语,78808,1111
尼泊尔语,70921,664
希伯来语,404594,229
希腊语,403089,197
库克群岛毛利语,13787,2556
库尔德语,13570,2018
德语,377267,925
德顿语,16648,2023
恩德贝莱语,22117,2013
意大利语,136589,627
拉丁语,329273,909
拉脱维亚语,434017,794
挪威语,96197,495
捷克语,69773,640
提格雷尼亚语,18747,2017
斐济语,25168,2555
斯洛伐克语,437542,185
斯洛文尼亚语,325260,146
斯瓦希里语,56639,996
旁遮普语,21631,2020
日语,985635,985
普什图语,213527,136
朝鲜语,227852,171
柬埔寨语,45192,445
格鲁吉亚语,15825,2009
桑戈语,98781,2029
梵语巴利语,147291,773
比斯拉马语,25149,2554
毛利语,13302,2551
汤加语,22288,2552
法语,683147,33
波兰语,72320,981
波斯语,127046,269
泰米尔语,72984,1213
泰语,95005,134
爪哇语,35884,2019
爱尔兰语,347208,776
爱沙尼亚语,346684,712
瑞典语,102805,1015
白俄罗斯语,25117,2001
皮金语,24212,2558
祖鲁语,348465,59
科摩罗语,13447,2014
立陶宛语,413994,447
索马里语,16425,2005
约鲁巴语,21119,2006
纽埃语,18341,2557
绍纳语,13164,2016
缅甸语,62029,979
罗马尼亚语,62159,561
翻译,591666,938
老挝语,49070,305
芬兰语,87290,520
英语,4315562,593
茨瓦纳语,19252,2012
荷兰语,92183,1181
菲律宾语,45351,1205
萨摩亚语,21150,2553
葡萄牙语,98246,819
蒙古语,60134,54
西班牙语,444067,220
语言学,87949,2000
豪萨语,88242,780
越南语,61872,1050
达里语,14217,2022
迪维希语,24249,2024
阿塞拜疆语,16250,2010
阿姆哈拉语,21155,2004
阿尔巴尼亚语,60783,1108
阿拉伯语,207561,492
阿非利卡语,17101,2011
隆迪语,18631,2025
马其顿语,17060,2002
马来语,52733,529
马耳他语,348935,279
马达加斯加语,14389,2008
会展,96437,2559
传播学,757953,1224
国际新闻与传播,187675,1362
广告学,788774,538
广播电视学,703852,423
数字出版,507384,879
新闻学,1516240,362
时尚传播,104104,1361
编辑出版学,647799,116
网络与新媒体,1520323,1123
休闲体育,436089,565
体育教育,882054,435
体育旅游,54732,1353
体能训练,42526,1350
冰雪运动,37913,1354
智能体育工程,51748,1352
武术与民族传统体育,412814,489
电子竞技运动与管理,225831,1351
社会体育指导与管理,451026,311
运动人体科学,165027,679
