展示名称,院校名称,院校 ID,院校曾用名,ID,创建人,创建时间,更新人,更新时间
贵州工程职业学院,贵州工程职业学院,48,,1785687483231242,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵州农业职业学院,贵州农业职业学院,49,,1785687483238474,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
毕节幼儿师范高等专科学校,毕节幼儿师范高等专科学校,50,,1785687483240522,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
河南师范大学新联学院,河南师范大学新联学院,51,,1785687386784891,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海外国语大学贤达经济人文学院,上海外国语大学贤达经济人文学院,52,,1785687386776747,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中山大学新华学院,中山大学新华学院,53,,1785687386781723,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
云南师范大学商学院,云南师范大学商学院,54,,1785687386785915,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国矿业大学(北京),中国矿业大学(北京),55,,1785687386779675,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
武汉华夏理工学院,武汉华夏理工学院,56,,1785687387014217,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国矿业大学徐海学院,中国矿业大学徐海学院,57,,1785687386783787,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
湖北经济学院法商学院,湖北经济学院法商学院,58,,1785687386780699,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
云南警官学院,云南警官学院,59,,1785687386775707,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广州大学松田学院,广州大学松田学院,60,,1785687386786923,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
上海师范大学天华学院,上海师范大学天华学院,61,,1785687386786907,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
三峡大学科技学院,三峡大学科技学院,62,,1785687386781755,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京铁道职业技术学院,南京铁道职业技术学院,63,,1785687386785867,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
郑州科技学院,郑州科技学院,64,,1785687386776763,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
济南大学泉城学院,济南大学泉城学院,65,,1785687386782731,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京电影学院,北京电影学院,66,,1785687386780683,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
武汉工程大学邮电与信息工程学院,武汉工程大学邮电与信息工程学院,67,,1785687386775739,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
成都航空职业技术学院,成都航空职业技术学院,68,,1785687386786891,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
宁波大学科学技术学院,宁波大学科学技术学院,69,,1785687386780731,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
西安体育学院,西安体育学院,70,,1785687386779707,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
安徽水利水电职业技术学院,安徽水利水电职业技术学院,71,,1785687386784859,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
黑龙江职业学院,黑龙江职业学院,72,,1785687386777739,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
山东医学高等专科学校,山东医学高等专科学校,73,,1785687386776715,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中国人民解放军装甲兵技术学院,中国人民解放军装甲兵技术学院,74,,1785687386786939,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵阳职业技术学院,贵阳职业技术学院,75,,1785687386784875,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
沈阳体育学院,沈阳体育学院,76,,1785687386775723,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
郑州升达经贸管理学院,郑州升达经贸管理学院,77,,1785687386782779,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
齐鲁理工学院,齐鲁理工学院,78,,1785687387013209,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
广东职业技术学院,广东职业技术学院,79,,1785687386781707,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京工业职业技术学院,北京工业职业技术学院,80,,1785687386782747,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
重庆三峡医药高等专科学校,重庆三峡医药高等专科学校,81,,1785687386783803,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
天津理工大学中环信息学院,天津理工大学中环信息学院,82,,1785687387013193,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
邢台职业技术学院,邢台职业技术学院,83,,1785687386785883,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
辽宁财贸学院,辽宁财贸学院,84,,1785687386779659,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京工业职业技术学院,南京工业职业技术学院,85,,1785687386777787,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京电子科技职业学院,北京电子科技职业学院,86,,1785687387013241,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
中南林业科技大学涉外学院,中南林业科技大学涉外学院,87,,1785687386777755,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
北京财贸职业学院,北京财贸职业学院,88,,1785687386774651,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京信息工程大学滨江学院,南京信息工程大学滨江学院,89,,1785687386783771,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
贵州大学科技学院,贵州大学科技学院,90,,1785687386779691,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
顺德职业技术学院,顺德职业技术学院,91,,1785687386785899,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
浙江师范大学行知学院,浙江师范大学行知学院,92,,1785687386775691,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
大连工业大学艺术与信息工程学院,大连工业大学艺术与信息工程学院,93,,1785687386782763,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
南京工业大学浦江学院,南京工业大学浦江学院,94,,1785687386776731,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
天津电子信息职业技术学院,天津电子信息职业技术学院,95,,1785687386780715,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
江门职业技术学院,江门职业技术学院,96,,1785687386783755,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
山东英才学院,山东英才学院,97,,1785687387013225,纪嘉澍,2023-12-19 14:40,纪嘉澍,2023-12-19 14:40
