展示名称,ID,创建人,创建时间,更新人,更新时间,专业名称,专业代码,专业 ID,学门,专业大类,级别,父级分类,生效状态
水质科学与技术,1785684750091284,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,水质科学与技术,082507T,198,工学,环境科学与工程类,专业,环境科学与工程类,生效中
旅游管理与服务教育,1785684749486108,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,旅游管理与服务教育,120904T,204,管理学,旅游管理类,专业,旅游管理类,生效中
物联网工程,1785684750085124,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,物联网工程,80905,210,工学,计算机类,专业,计算机类,生效中
会展经济与管理,1785684750086196,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,会展经济与管理,120903,211,管理学,旅游管理类,专业,旅游管理类,生效中
文化产业管理,1785684749488156,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,文化产业管理,120210,214,管理学,工商管理类,专业,工商管理类,生效中
西班牙语,1785684749491228,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,西班牙语,50205,220,文学,外国语言文学类,专业,外国语言文学类,生效中
光源与照明,1785684750087172,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,光源与照明,080603T,226,工学,电气类,专业,电气类,生效中
希伯来语,1785684750092292,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,希伯来语,50222,229,文学,外国语言文学类,专业,外国语言文学类,生效中
酒店管理,1785684750086164,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,酒店管理,120902,233,管理学,旅游管理类,专业,旅游管理类,生效中
播音与主持艺术,1785684749327481,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,播音与主持艺术,130309,234,艺术学,戏剧与影视学类,专业,戏剧与影视学类,生效中
地质学,1785684749317225,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,地质学,70901,235,理学,地质学类,专业,地质学类,生效中
广播电视工程,1785684749320313,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,广播电视工程,080707T,236,工学,电子信息类,专业,电子信息类,生效中
自动化,1785684749322377,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,自动化,80801,237,工学,自动化类,专业,自动化类,生效中
投资学,1785684749328521,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,投资学,20304,239,经济学,金融学类,专业,金融学类,生效中
光电信息科学与工程,1785684749321321,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,光电信息科学与工程,80705,242,工学,电子信息类,专业,电子信息类,生效中
冶金工程,1785684749319225,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,冶金工程,80404,251,工学,材料类,专业,材料类,生效中
工程管理,1785684749326377,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,工程管理,120103,252,管理学,管理科学与工程类,专业,管理科学与工程类,生效中
蒙医学,1785684749322393,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,蒙医学,100504K,257,医学,中医学类,专业,中医学类,生效中
土木工程,1785684749318265,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,土木工程,81001,259,工学,土木类,专业,土木类,生效中
交通工程,1785684749322409,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,交通工程,81802,262,工学,交通运输类,专业,交通运输类,生效中
产品设计,1785684749326345,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,产品设计,130504,264,艺术学,设计学类,专业,设计学类,生效中
波斯语,1785684749321305,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,波斯语,50208,269,文学,外国语言文学类,专业,外国语言文学类,生效中
农学,1785684749318217,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,农学,90101,274,农学,植物生产类,专业,植物生产类,生效中
公安视听技术,1785684749320265,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,公安视听技术,083105TK,276,工学,公安技术类,专业,公安技术类,生效中
马耳他语,1785684749318233,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,马耳他语,50256,279,文学,外国语言文学类,专业,外国语言文学类,生效中
文物保护技术,1785684749323417,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,文物保护技术,060105T,282,历史学,历史学类,专业,历史学类,生效中
集成电路设计与集成系统,1785684749318249,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,集成电路设计与集成系统,080710T,283,工学,电子信息类,专业,电子信息类,生效中
消防指挥,1785684749317209,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,消防指挥,030608TK,285,法学,公安学类,专业,公安学类,生效中
水务工程,1785684749323449,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,水务工程,081104T,291,工学,水利类,专业,水利类,生效中
动植物检疫,1785684749328553,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,动植物检疫,090403T,295,农学,动物医学类,专业,动物医学类,生效中
老挝语,1785684749324425,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,老挝语,50215,305,文学,外国语言文学类,专业,外国语言文学类,生效中
海洋资源与环境,1785684749324473,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,海洋资源与环境,070703T,307,理学,海洋科学类,专业,海洋科学类,生效中
城乡规划,1785684749327465,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,城乡规划,82802,308,工学,建筑类,专业,建筑类,生效中
涉外警务,1785684749322425,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,涉外警务,030613TK,309,法学,公安学类,专业,公安学类,生效中
社会体育指导与管理,1785684749329433,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,社会体育指导与管理,40203,311,教育学,体育学类,专业,体育学类,生效中
农业工程,1785684749321337,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,农业工程,82301,312,工学,农业工程类,专业,农业工程类,生效中
能源与环境系统工程,1785684749328569,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,能源与环境系统工程,080502T,313,工学,能源动力类,专业,能源动力类,生效中
应用化学,1785684749319177,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,应用化学,70302,319,理学,化学类,专业,化学类,生效中
核生化消防,1785684749321289,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,核生化消防,083109TK,321,工学,公安技术类,专业,公安技术类,生效中
心理学,1785684749328537,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,心理学,71101,326,理学,心理学类,专业,心理学类,生效中
茶学,1785684749324457,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,茶学,090107T,328,农学,植物生产类,专业,植物生产类,生效中
物理学,1785684749319193,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,物理学,70201,329,理学,物理学类,专业,物理学类,生效中
古典文献学,1785684749317193,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,古典文献学,50105,330,文学,中国语言文学类,专业,中国语言文学类,生效中
声学,1785684749323433,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,声学,070204T,331,理学,物理学类,专业,物理学类,生效中
乳品工程,1785684749329465,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,乳品工程,82704,332,工学,食品科学与工程类,专业,食品科学与工程类,生效中
应用心理学,1785684749327449,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,应用心理学,71102,336,理学,心理学类,专业,心理学类,生效中
录音艺术,1785684749323401,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,录音艺术,130308,337,艺术学,戏剧与影视学类,专业,戏剧与影视学类,生效中
电气工程与智能控制,1785684749326361,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,电气工程与智能控制,080604T,340,工学,电气类,专业,电气类,生效中
能源经济,1785684749326393,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,能源经济,020106T,341,经济学,经济学类,专业,经济学类,生效中
火灾勘查,1785684749316153,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,火灾勘查,083107TK,342,工学,公安技术类,专业,公安技术类,生效中
电磁场与无线技术,1785684749329449,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,电磁场与无线技术,080712T,343,工学,电子信息类,专业,电子信息类,生效中
教育技术学,1785684749327433,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,教育技术学,40104,346,教育学,教育学类,专业,教育学类,生效中
勘查技术与工程,1785684749319209,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,勘查技术与工程,81402,349,工学,地质类,专业,地质类,生效中
汉语言文学,1785684749317241,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,汉语言文学,50101,351,文学,中国语言文学类,专业,中国语言文学类,生效中
植物科学与技术,1785684749330505,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,植物科学与技术,90104,352,农学,植物生产类,专业,植物生产类,生效中
禁毒学,1785684749320281,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,禁毒学,030604TK,354,法学,公安学类,专业,公安学类,生效中
工程造价,1785684749324441,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,工程造价,120105,359,管理学,管理科学与工程类,专业,管理科学与工程类,生效中
市场营销教育,1785684749320297,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,市场营销教育,120214T,360,管理学,工商管理类,专业,工商管理类,生效中
新闻学,1785684749329417,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,新闻学,50301,362,文学,新闻传播学类,专业,新闻传播学类,生效中
古生物学,1785684769714203,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,古生物学,070904T,366,理学,地质学类,专业,地质学类,生效中
劳动与社会保障,1785684769701995,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,劳动与社会保障,120403,368,管理学,公共管理类,专业,公共管理类,生效中
海洋资源开发技术,1785684769822724,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,海洋资源开发技术,081903T,371,工学,海洋工程类,专业,海洋工程类,生效中
道路桥梁与渡河工程,1785684769713163,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,道路桥梁与渡河工程,081006T,372,工学,土木类,专业,土木类,生效中
舞蹈表演,1785684769703003,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,舞蹈表演,130204,373,艺术学,音乐与舞蹈学类,专业,音乐与舞蹈学类,生效中
地质工程,1785684769713179,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,地质工程,81401,378,工学,地质类,专业,地质类,生效中
电子科学与技术,1785684769820692,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,电子科学与技术,80702,379,工学,电子信息类,专业,电子信息类,生效中
麻醉学,1785684769709099,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,麻醉学,100202TK,380,医学,临床医学类,专业,临床医学类,生效中
社会工作,1785684769715243,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,社会工作,30302,381,法学,社会学类,专业,社会学类,生效中
公安管理学,1785684769702011,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,公安管理学,030612TK,383,法学,公安学类,专业,公安学类,生效中
卫生检验与检疫,1785684769707115,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,卫生检验与检疫,101007,386,医学,医学技术类,专业,医学技术类,生效中
书法学,1785684769710139,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,书法学,130405T,390,艺术学,美术学类,专业,美术学类,生效中
环保设备工程,1785684769700955,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,环保设备工程,082505T,393,工学,环境科学与工程类,专业,环境科学与工程类,生效中
国际商务,1785684769706075,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,国际商务,120205,395,管理学,工商管理类,专业,工商管理类,生效中
乌尔都语,1785684769699963,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,乌尔都语,50221,396,文学,外国语言文学类,专业,外国语言文学类,生效中
全球健康学,1785684769705035,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,全球健康学,100405TK,403,医学,公共卫生与预防医学类,专业,公共卫生与预防医学类,生效中
应用语言学,1785684769701979,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,应用语言学,050106T,405,文学,中国语言文学类,专业,中国语言文学类,生效中
农业电气化,1785684769821748,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,农业电气化,82303,407,工学,农业工程类,专业,农业工程类,生效中
俄语,1785684769822740,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,俄语,50202,411,文学,外国语言文学类,专业,外国语言文学类,生效中
电子商务,1785684769713211,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,电子商务,120801,414,管理学,电子商务类,专业,电子商务类,生效中
测绘工程,1785684769699947,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,测绘工程,81201,417,工学,测绘类,专业,测绘类,生效中
旅游管理,1785684769707147,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,旅游管理,120901K,418,管理学,旅游管理类,专业,旅游管理类,生效中
理论与应用力学,1785684769712155,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,理论与应用力学,80101,419,工学,力学类,专业,力学类,生效中
导航工程,1785684769710091,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,导航工程,081203T,421,工学,测绘类,专业,测绘类,生效中
天文学,1785684769822772,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,天文学,70401,422,理学,天文学类,专业,天文学类,生效中
广播电视学,1785684769823764,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,广播电视学,50302,423,文学,新闻传播学类,专业,新闻传播学类,生效中
僧伽罗语,1785684769711131,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,僧伽罗语,50219,424,文学,外国语言文学类,专业,外国语言文学类,生效中
微电子科学与工程,1785684769704059,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,微电子科学与工程,80704,425,工学,电子信息类,专业,电子信息类,生效中
金属材料工程,1785684769704043,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,金属材料工程,80405,428,工学,材料类,专业,材料类,生效中
保险学,1785684769701963,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,保险学,20303,430,经济学,金融学类,专业,金融学类,生效中
艺术与科技,1785684769715227,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,艺术与科技,130509T,431,艺术学,设计学类,专业,设计学类,生效中
体育教育,1785684769706059,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,体育教育,40201,435,教育学,体育学类,专业,体育学类,生效中
世界史,1785684769700987,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,世界史,60102,436,历史学,历史学类,专业,历史学类,生效中
国际经济与贸易,1785684769821732,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,国际经济与贸易,20401,438,经济学,经济与贸易类,专业,经济与贸易类,生效中
土耳其语,1785684769698939,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,土耳其语,50235,439,文学,外国语言文学类,专业,外国语言文学类,生效中
假肢矫形工程,1785684769701003,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,假肢矫形工程,082602T,440,工学,生物医学工程类,专业,生物医学工程类,生效中
新能源材料与器件,1785684769711163,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,新能源材料与器件,080414T,441,工学,材料类,专业,材料类,生效中
特种能源技术与工程,1785684769820708,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,特种能源技术与工程,82105,444,工学,兵器类,专业,兵器类,生效中
柬埔寨语,1785684769823796,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,柬埔寨语,50214,445,文学,外国语言文学类,专业,外国语言文学类,生效中
立陶宛语,1785684769715211,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,立陶宛语,50253,447,文学,外国语言文学类,专业,外国语言文学类,生效中
软件工程,1785684769712171,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,软件工程,80902,450,工学,计算机类,专业,计算机类,生效中
基础医学,1785684769823780,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,基础医学,100101K,457,医学,基础医学类,专业,基础医学类,生效中
酿酒工程,1785684769705067,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,酿酒工程,82705,459,工学,食品科学与工程类,专业,食品科学与工程类,生效中
土地资源管理,1785684769712187,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,土地资源管理,120404,465,管理学,公共管理类,专业,公共管理类,生效中
装甲车辆工程,1785684769714235,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,装甲车辆工程,82106,468,工学,兵器类,专业,兵器类,生效中
飞行技术,1785684769706107,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,飞行技术,081805K,472,工学,交通运输类,专业,交通运输类,生效中
眼视光医学,1785684769703035,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,眼视光医学,100204TK,473,医学,临床医学类,专业,临床医学类,生效中
公共关系学,1785684769821716,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,公共关系学,120409T,476,管理学,公共管理类,专业,公共管理类,生效中
动物医学,1785684769709067,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,动物医学,90401,481,农学,动物医学类,专业,动物医学类,生效中
华文教育,1785684769710107,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,华文教育,040109T,484,教育学,教育学类,专业,教育学类,生效中
医学信息工程,1785684769844228,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,医学信息工程,080711T,487,工学,电子信息类,专业,电子信息类,生效中
美术学,1785684769833044,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,美术学,130401,488,艺术学,美术学类,专业,美术学类,生效中
武术与民族传统体育,1785684777055267,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,武术与民族传统体育,040204K,489,教育学,体育学类,专业,体育学类,生效中
阿拉伯语,1785684769839140,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,阿拉伯语,50206,492,文学,外国语言文学类,专业,外国语言文学类,生效中
生态学,1785684769836164,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,生态学,71004,494,理学,生物科学类,专业,生物科学类,生效中
挪威语,1785684769834084,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,挪威语,50248,495,文学,外国语言文学类,专业,外国语言文学类,生效中
经济学,1785684769834052,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,经济学,20101,502,经济学,经济学类,专业,经济学类,生效中
中国画,1785684769846324,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,中国画,130406T,504,艺术学,美术学类,专业,美术学类,生效中
运动训练,1785684769830980,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,运动训练,040202K,505,教育学,体育学类,专业,体育学类,生效中
烹饪与营养教育,1785684769832020,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,烹饪与营养教育,082708T,507,工学,食品科学与工程类,专业,食品科学与工程类,生效中
数字媒体技术,1785684777056259,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,数字媒体技术,80906,508,工学,计算机类,专业,计算机类,生效中
化学生物学,1785684769836196,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,化学生物学,070303T,510,理学,化学类,专业,化学类,生效中
园艺教育,1785684769832052,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,园艺教育,090111T,512,农学,植物生产类,专业,植物生产类,生效中
冰岛语,1785684769844260,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,冰岛语,50250,513,文学,外国语言文学类,专业,外国语言文学类,生效中
视觉传达设计,1785684769838228,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,视觉传达设计,130502,515,艺术学,设计学类,专业,设计学类,生效中
塞尔维亚语,1785684769844276,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,塞尔维亚语,50234,517,文学,外国语言文学类,专业,外国语言文学类,生效中
海洋油气工程,1785684769829956,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,海洋油气工程,081506T,519,工学,矿业类,专业,矿业类,生效中
芬兰语,1785684777054243,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,芬兰语,50246,520,文学,外国语言文学类,专业,外国语言文学类,生效中
飞行器动力工程,1785684777054259,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,飞行器动力工程,82004,522,工学,航空航天类,专业,航空航天类,生效中
金融数学,1785684769842228,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,金融数学,020305T,523,经济学,金融学类,专业,金融学类,生效中
园艺,1785684769838212,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,园艺,90102,524,农学,植物生产类,专业,植物生产类,生效中
包装工程,1785684769835140,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,包装工程,81702,525,工学,轻工类,专业,轻工类,生效中
国内安全保卫,1785684769842196,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,国内安全保卫,030614TK,526,法学,公安学类,专业,公安学类,生效中
戏剧影视导演,1785684769838196,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,戏剧影视导演,130306,527,艺术学,戏剧与影视学类,专业,戏剧与影视学类,生效中
医学影像技术,1785684769842212,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,医学影像技术,101003,528,医学,医学技术类,专业,医学技术类,生效中
马来语,1785684769837124,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,马来语,50217,529,文学,外国语言文学类,专业,外国语言文学类,生效中
广告学,1785684769837156,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,广告学,50303,538,文学,新闻传播学类,专业,新闻传播学类,生效中
采购管理,1785684769830996,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,采购管理,120603T,542,管理学,物流管理与工程类,专业,物流管理与工程类,生效中
食品卫生与营养学,1785684769839124,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,食品卫生与营养学,100402,544,医学,公共卫生与预防医学类,专业,公共卫生与预防医学类,生效中
海洋药学,1785684769835172,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,海洋药学,100707T,552,医学,药学类,专业,药学类,生效中
工程力学,1785684769845252,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,工程力学,80102,554,工学,力学类,专业,力学类,生效中
弹药工程与爆炸技术,1785684769836180,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,弹药工程与爆炸技术,82104,555,工学,兵器类,专业,兵器类,生效中
机电技术教育,1785684769840196,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,机电技术教育,080211T,557,工学,机械类,专业,机械类,生效中
资源环境科学,1785684777053203,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,资源环境科学,082506T,559,工学,环境科学与工程类,专业,环境科学与工程类,生效中
罗马尼亚语,1785684769837172,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,罗马尼亚语,50231,561,文学,外国语言文学类,专业,外国语言文学类,生效中
经济与金融,1785684769840164,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,经济与金融,020307T,563,经济学,金融学类,专业,金融学类,生效中
休闲体育,1785684777053219,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,休闲体育,040207T,565,教育学,体育学类,专业,体育学类,生效中
药物分析,1785684769846276,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,药物分析,100705T,571,医学,药学类,专业,药学类,生效中
表演,1785684769843236,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,表演,130301,572,艺术学,戏剧与影视学类,专业,戏剧与影视学类,生效中
政治学、经济学与哲学,1785684769835188,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,政治学、经济学与哲学,030205T,574,法学,政治学类,专业,政治学类,生效中
采矿工程,1785684769846308,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,采矿工程,81501,575,工学,矿业类,专业,矿业类,生效中
信息安全,1785684769833028,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,信息安全,080904K,576,工学,计算机类,专业,计算机类,生效中
食品科学与工程,1785684769829988,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,食品科学与工程,82701,577,工学,食品科学与工程类,专业,食品科学与工程类,生效中
海事管理,1785684777054211,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,海事管理,120408T,582,管理学,公共管理类,专业,公共管理类,生效中
体育经济与管理,1785684777055235,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,体育经济与管理,120212T,584,管理学,工商管理类,专业,工商管理类,生效中
物业管理,1785684769845284,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,物业管理,120209,587,管理学,工商管理类,专业,工商管理类,生效中
英语,1785684769840148,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,英语,50201,593,文学,外国语言文学类,专业,外国语言文学类,生效中
金融工程,1785684769830004,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,金融工程,20302,596,经济学,金融学类,专业,金融学类,生效中
印度尼西亚语,1785684777054227,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,印度尼西亚语,50212,597,文学,外国语言文学类,专业,外国语言文学类,生效中
克罗地亚语,1785684769831028,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,克罗地亚语,50244,600,文学,外国语言文学类,专业,外国语言文学类,生效中
安全防范工程,1785684749477948,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,安全防范工程,083104TK,601,工学,公安技术类,专业,公安技术类,生效中
藏药学,1785684749481020,纪嘉澍,2023-12-19 14:44,纪嘉澍,2023-12-21 21:00,藏药学,100803T,603,医学,中药学类,专业,中药学类,生效中
